Year,Week,Season,Customers,Orders,Units,Value,Return_Units,Return_Value,Partner,Delivery_Type,Store_Type,Next_Customer_Type,Return_Type,Markdown_Type,Despatch_Type
2023,17,S20231,10,18,32,967.86,12,381.09,Next,Store,UK_Next_Store,,Courier,FP,Home
2023,15,S20231,6,10,19,328.38,7,102.83,Next,Store,UK_Next_Store,LauraAshley,Store,FP,Branded
2023,12,S20231,7,10,21,229.44,8,56.81,Next,Courier,Courier,LauraAshley,,MD,WWR
2023,3,S20231,3,4,10,64.34,4,21.88,Next,Store,UK_Next_Store,Bath and Body Works,Store,FP,Branded
2023,5,S20231,3,4,5,153.24,2,64.36,Reiss,Store,International_Next_Store,,,MD,Branded
2023,25,S20231,3,4,9,48.32,4,26.84,Next,Courier,Courier,LauraAshley,,MD,Branded
2023,23,S20231,3,4,10,244.65,4,141.9,Next,Store,UK_Reiss_Store,,Store,MD,Branded
2023,14,S20231,3,4,6,137.11,3,85.69,Next,Store,UK_Reiss_Store,,,MD,Branded
2023,9,S20231,3,4,9,90.33,4,42.15,Next,Courier,Courier,Bath and Body Works,,FP,Branded
2023,9,S20231,3,4,13,57.61,6,22.6,GAP,Parcelshop,Courier,,Store,MD,Branded
2023,12,S20231,3,4,9,289.59,4,83.66,Reiss,Courier,Courier,,Store,MD,Mixed
2023,14,S20231,3,4,6,585.71,3,248.93,Reiss,Courier,Courier,,Store,MD,Mixed
2023,12,S20231,3,4,9,48.39,5,28.23,VS,Store,UK_Next_Store,,,FP,Mixed
2023,22,S20231,3,4,10,28.73,5,17.96,Next,Store,International_Next_Store,,Store,MD,Mixed
2023,24,S20231,3,4,7,57.92,4,47.99,Next,Courier,Courier,,,FP,WWR
2023,5,S20231,661,1042,1867,145572.25,990,96489.37,Next,Courier,Courier,,Courier,FP,Home
2023,13,S20231,406,760,1367,20563.72,738,11656.79,Next,Courier,Courier,,Courier,FP,WWR
2023,1,S20231,386,690,1278,24919.91,703,11651.72,Next,Store,UK_Next_Store,,Courier,FP,Mixed
2023,8,S20231,218,333,635,56803.96,356,20699.9,Next,Courier,Courier,,Courier,MD,Home
2023,5,S20231,128,222,382,12150.06,218,5893.73,Next,Store,UK_Next_Store,,Courier,FP,MWR
2023,6,S20231,145,218,366,3610.1,212,2195.65,GAP,Store,UK_Next_Store,,,MD,Branded
2023,2,S20231,142,250,362,6456.06,214,4770.71,Next,Courier,Courier,LauraAshley,,MD,Home
2023,24,S20231,84,136,249,2025.82,149,1757.74,JOJO,Courier,Courier,,,FP,Mixed
2023,12,S20231,70,126,226,3853.53,138,2941.3,Next,Courier,Courier,,Store,FP,MWR
2023,5,S20231,65,108,175,3704.48,109,2422.73,Next,Courier,Courier,LauraAshley,,MD,Home
2023,25,S20231,62,94,175,1691.83,110,903.92,Next,Store,UK_Next_Store,,Courier,MD,WWR
2023,12,S20231,51,92,167,3838.61,107,1598.65,Next,Parcelshop,Courier,,,FP,Home
2023,1,S20231,59,102,167,6441.82,109,3573.86,Next,Store,International_Next_Store,,Store,FP,Branded
2023,22,S20231,73,128,163,3156.83,108,2196.22,Next,Store,UK_Next_Store,LauraAshley,,FP,WWR
2023,18,S20231,53,92,163,1994.01,109,1666.77,Next,Courier,Courier,,,MD,Home
2023,5,S20231,49,92,159,1438.96,108,1417.24,Next,Store,UK_Next_Store,LauraAshley,,MD,Home
2023,2,S20231,46,80,143,2089.34,99,1808.08,Next,Courier,Courier,LauraAshley,Store,FP,Home
2023,25,S20231,41,76,140,1872.8,98,1376.51,Next,Parcelshop,Courier,,,MD,MWR
2023,21,S20231,59,72,133,2091.46,94,1256.45,JOJO,Courier,Courier,,Store,FP,Branded
2023,5,S20231,39,68,129,3036.23,93,1422.79,Next,Parcelshop,Courier,,Store,FP,MWR
2023,23,S20231,68,84,129,3266.52,94,2023.22,Next,Store,UK_Next_Store,LauraAshley,,FP,WWR
2023,24,S20231,39,68,117,1186.76,87,926.59,JOJO,Store,UK_JOJO_Store,,,FP,Mixed
2023,15,S20231,35,58,104,1446.87,78,1356.44,Next,Courier,Courier,LauraAshley,,FP,WWR
2023,25,S20231,39,70,97,735.95,74,814.1,JOJO,Store,UK_Next_Store,,Store,FP,Branded
2023,26,S20231,34,60,97,2324.39,75,2246.51,Next,Store,UK_Next_Store,,Courier,FP,Home
2023,6,S20231,35,58,86,1138.05,67,930.95,GAP,Courier,Courier,,,FP,Branded
2023,1,S20231,28,48,77,1932.26,61,1301.14,Next,Store,UK_Next_Store,LauraAshley,,FP,WWR
2023,3,S20231,28,46,77,2005.97,62,1049.88,Next,Store,UK_Next_Store,LauraAshley,Store,MD,Home
2023,19,S20231,23,40,75,5530.99,61,3823.76,Reiss,Store,UK_Reiss_Store,,Store,FP,Mixed
2023,11,S20231,25,42,75,785.58,62,681.88,VS,Store,UK_VS_Store,,Store,MD,Branded
2023,7,S20231,28,46,75,637.91,62,659.17,Next,Store,UK_Next_Store,,,MD,Home
2023,11,S20231,30,46,75,2430.55,63,2960.41,Next,Courier,Courier,LauraAshley,Store,FP,Home
2023,16,S20231,23,42,70,428.31,60,458.9,Next,Courier,Courier,Bath and Body Works,,MD,Branded
2023,14,S20231,29,52,70,960.61,60,864.55,Next,Store,UK_Next_Store,,,MD,MWR
2023,9,S20231,19,34,62,718.21,54,531.71,Next,Store,International_Next_Store,,,MD,WWR
2023,1,S20231,21,36,62,2695.4,55,1554.2,Next,Courier,Courier,LauraAshley,,MD,Home
2023,24,S20231,28,48,62,6844.9,55,5161.28,Reiss,Courier,Courier,,Courier,FP,Mixed
2023,26,S20231,29,48,62,2540.62,56,2409.49,Reiss,Store,UK_Reiss_Store,,,MD,Mixed
2023,13,S20231,17,32,59,2640.4,54,3020.8,Reiss,Courier,Courier,,Store,FP,Mixed
2023,8,S20231,20,32,59,736.95,54,978.02,Next,Courier,Courier,,Courier,MD,Home
2023,16,S20231,22,33,59,3108.42,55,3622.1,Reiss,Store,UK_Reiss_Store,,Courier,FP,Branded
2023,20,S20231,23,34,59,1464.69,55,1433.66,Next,Store,UK_Next_Store,,Courier,FP,WWR
2023,21,S20231,19,36,55,961.14,52,772.41,Next,Store,UK_Next_Store,LauraAshley,Store,MD,Home
2023,14,S20231,17,30,55,771.87,53,483.47,Next,Courier,Courier,,Courier,MD,WWR
2023,8,S20231,25,42,55,2112.39,53,1730.24,Next,Store,UK_Next_Store,Aubin,Store,MD,Branded
2023,13,S20231,18,30,55,983.99,54,1014.4,Next,Store,UK_Next_Store,LauraAshley,Store,FP,WWR
2023,5,S20231,17,30,51,1223.57,50,1499.47,Reiss,Courier,Courier,,,FP,Mixed
2023,9,S20231,16,28,51,685.03,51,993.29,Next,Courier,Courier,Aubin,,MD,Branded
2023,5,S20231,18,30,51,3380.81,0,0,Reiss,Courier,Courier,,Store,FP,Branded
2023,15,S20231,22,34,51,2830.98,1,58.28,Reiss,Store,UK_Reiss_Store,,Courier,MD,Branded
2023,21,S20231,15,26,46,570.82,1,10.55,JOJO,Parcelshop,Courier,,,FP,Branded
2023,9,S20231,15,26,46,4054.24,1,57.29,Reiss,Courier,Courier,,,MD,Mixed
2023,21,S20231,16,26,46,2650.08,2,97.94,Reiss,Courier,Courier,,,MD,Mixed
2023,8,S20231,17,26,43,881.56,2,43.05,GAP,Store,UK_Next_Store,,Courier,FP,Branded
2023,21,S20231,19,26,43,826.6,3,72.09,Next,Store,UK_Next_Store,LauraAshley,Store,FP,Branded
2023,7,S20231,16,30,39,199.72,3,22.28,Next,Courier,Courier,Bath and Body Works,Courier,MD,Branded
2023,8,S20231,14,24,39,415.26,3,39.93,Next,Courier,Courier,Bath and Body Works,Store,FP,Branded
2023,8,S20231,15,22,39,1103.36,4,118.82,Reiss,Courier,Courier,,Courier,MD,Branded
2023,20,S20231,20,24,39,685.57,4,59.77,Next,Courier,Courier,,Store,MD,Home
2023,22,S20231,12,22,36,1280.87,4,92.51,Next,Store,UK_Next_Store,,Store,FP,Home
2023,25,S20231,15,26,36,541.54,4,51.15,GAP,Courier,Courier,,,FP,Branded
2023,18,S20231,15,26,36,3269.74,5,476.84,Reiss,Courier,Courier,,Store,FP,Mixed
2023,7,S20231,13,22,36,491,5,85.24,Next,Courier,Courier,LauraAshley,,FP,Branded
2023,8,S20231,13,22,36,1117.41,5,225.03,Reiss,Store,UK_Reiss_Store,,Store,FP,Mixed
2023,8,S20231,12,20,36,682.95,6,142.28,Next,Store,UK_Next_Store,,Store,FP,Home
2023,21,S20231,12,20,36,442.8,6,77.49,Next,Courier,Courier,,Store,MD,Home
2023,8,S20231,14,19,36,534.83,6,75.77,Next,Courier,Courier,LauraAshley,Store,MD,WWR
2023,21,S20231,11,20,32,2766.69,6,337.19,Next,Courier,Courier,LauraAshley,Store,FP,Home
2023,24,S20231,10,18,32,2486.85,6,396.34,Next,Store,UK_Next_Store,LauraAshley,,FP,Home
2023,26,S20231,14,24,32,2461.58,7,565.39,Reiss,Store,UK_Next_Store,,,FP,Other
2023,23,S20231,12,20,32,1049.89,7,287.08,Reiss,Courier,Courier,,Courier,FP,Branded
2023,23,S20231,12,20,32,853.79,7,270.81,Reiss,Store,UK_Reiss_Store,,Store,MD,Mixed
2023,6,S20231,11,18,32,1495.18,8,467.24,Reiss,Courier,Courier,,,MD,Mixed
2023,6,S20231,7,15,27,1996.04,7,543.37,Reiss,Parcelshop,Courier,,,FP,Branded
2023,10,S20231,8,15,27,3533.44,7,778.67,Reiss,Store,UK_Reiss_Store,,Store,MD,Mixed
2023,3,S20231,10,18,27,255.07,7,42.98,Next,Courier,Courier,,Courier,MD,MWR
2023,10,S20231,9,16,27,1469.07,8,369.99,Reiss,Parcelshop,Courier,,,MD,Branded
2023,12,S20231,9,16,27,212.93,8,66.24,Next,Store,UK_Next_Store,LauraAshley,Store,MD,WWR
2023,7,S20231,12,20,27,1010.72,8,374.34,Next,Courier,Courier,,Courier,MD,Home
2023,10,S20231,10,16,27,157.78,8,67.79,Next,Store,UK_Next_Store,LauraAshley,Store,MD,Branded
2023,7,S20231,15,22,27,517.11,9,215.46,Next,Store,UK_Next_Store,LauraAshley,Store,MD,Home
2023,8,S20231,13,18,27,562.97,9,197.04,Next,Courier,Courier,LauraAshley,,FP,Branded
2023,13,S20231,12,16,27,777.74,9,220.36,GAP,Store,UK_Next_Store,,Courier,FP,Branded
2023,24,S20231,12,16,27,572.49,9,124.04,Next,Store,UK_Next_Store,,Courier,FP,Other
2023,16,S20231,9,16,23,599.15,8,177.14,Next,Courier,Courier,LauraAshley,,FP,Branded
2023,22,S20231,8,13,23,485.54,9,199.49,Next,Courier,Courier,LauraAshley,,FP,Branded
2023,7,S20231,12,13,23,1064.26,9,520.56,Reiss,Courier,Courier,,Courier,MD,Branded
2023,6,S20231,9,16,20,179.74,8,104.25,GAP,Courier,Courier,,Courier,FP,Branded
2023,22,S20231,7,12,20,143.78,8,71.89,JOJO,Store,UK_JOJO_Store,,,FP,Home
2023,19,S20231,9,14,20,441.19,8,185.3,Next,Courier,Courier,,Courier,MD,Home
2023,4,S20231,9,14,20,1119.56,8,380.65,Reiss,Store,UK_Next_Store,,Store,FP,Mixed
2023,20,S20231,8,12,20,605.91,9,177.23,Next,Courier,Courier,,Courier,MD,Home
2023,21,S20231,8,12,20,1219.42,9,466.43,Reiss,Store,UK_Reiss_Store,,Store,MD,Mixed
2023,24,S20231,8,12,20,1080.77,9,510.66,Reiss,Store,UK_Next_Store,,Store,MD,Mixed
2023,3,S20231,9,13,20,408.73,9,229.91,VS,Courier,Courier,,Store,FP,Branded
2023,10,S20231,10,14,20,187.24,9,122.17,Next,Store,UK_Next_Store,LauraAshley,,MD,WWR
2023,14,S20231,9,12,20,120.8,10,75.5,Next,Store,UK_Next_Store,LauraAshley,,MD,Branded
2023,23,S20231,9,12,20,129.05,10,67.75,JOJO,Store,UK_JOJO_Store,,,FP,Home
2023,7,S20231,9,12,20,364.87,10,155.07,GAP,Courier,Courier,,,FP,Mixed
2023,21,S20231,9,12,20,369.78,10,120.18,Next,Parcelshop,Courier,,,MD,MWR
2023,14,S20231,7,12,16,54.74,8,23.26,Next,Store,UK_Next_Store,Bath and Body Works,Store,MD,Branded
2023,22,S20231,7,12,16,224.71,8,117.97,JOJO,Store,UK_JOJO_Store,,Store,FP,Mixed
2023,4,S20231,6,10,16,203.71,9,143.23,Next,Courier,Courier,LauraAshley,,FP,Branded
2023,6,S20231,6,10,16,140.8,9,114.84,Next,Store,UK_Next_Store,LauraAshley,,MD,Branded
2023,7,S20231,6,10,16,221.35,9,155.64,Next,Courier,Courier,LauraAshley,Courier,MD,Home
2023,21,S20231,6,10,16,224.79,9,132.77,Next,Store,Lipsy Concession,,Store,FP,Mixed
2023,9,S20231,6,10,16,237.17,9,113.4,Next,Parcelshop,Courier,,Courier,MD,MWR
2023,25,S20231,6,10,16,2695.4,9,985.51,Reiss,Store,UK_Next_Store,,Store,FP,Other
2023,4,S20231,7,10,16,266.93,10,141.81,Next,Store,UK_Next_Store,LauraAshley,,MD,Branded
2023,6,S20231,7,10,16,293.58,10,192.66,GAP,Parcelshop,Courier,,Courier,FP,Branded
2023,17,S20231,3,7,13,33.31,8,25.62,Next,Courier,Courier,Bath and Body Works,,MD,Branded
2023,11,S20231,5,8,13,116.83,8,104.25,Next,Parcelshop,Courier,,Courier,MD,Branded
2023,4,S20231,5,8,13,127.97,8,98.44,GAP,Parcelshop,Courier,,,MD,Branded
2023,9,S20231,5,8,13,173.57,8,112.15,GAP,Parcelshop,Courier,,Store,FP,Branded
2023,16,S20231,5,8,13,215.08,9,126.57,Reiss,Store,UK_Reiss_Store,,,FP,Home
2023,23,S20231,5,8,13,115.84,9,52.13,Next,Store,UK_Next_Store,,Courier,MD,Other
2023,17,S20231,5,8,13,119.06,9,70.06,Next,Store,UK_Next_Store,LauraAshley,,MD,WWR
2023,19,S20231,5,8,13,161.31,9,117.26,Next,Store,UK_Next_Store,LauraAshley,Store,MD,WWR
2023,8,S20231,6,8,13,77.31,9,66.9,GAP,Store,UK_Next_Store,,Courier,MD,Branded
2023,11,S20231,4,6,7,72.4,5,74.99,Next,Store,UK_Next_Store,,,MD,Branded
2023,11,S20231,4,6,7,280.76,5,250.68,Reiss,Parcelshop,Courier,,Store,MD,Branded
2023,17,S20231,4,6,7,178.25,5,133.69,Next,Store,UK_Next_Store,,Store,MD,CWR
2023,2,S20231,4,6,7,649.08,5,394.08,Reiss,Store,UK_Reiss_Store,,,FP,Mixed
2023,6,S20231,4,6,7,793.03,5,368.19,Reiss,Courier,Courier,,Store,FP,Mixed
2023,24,S20231,1,3,5,82.58,4,56.15,JOJO,Parcelshop,Courier,,Store,MD,Branded
2023,10,S20231,1,3,5,176.15,4,147.97,Next,Store,UK_Reiss_Store,,Store,FP,Branded
2023,13,S20231,1,3,5,637.25,4,637.25,Reiss,Parcelshop,Courier,,Courier,FP,Branded
2023,10,S20231,1,3,5,214.7,4,249.05,Next,Courier,Courier,LauraAshley,Courier,FP,Home
2023,17,S20231,1,3,5,36.56,4,36.56,Next,Courier,Courier,LauraAshley,,MD,Home
2023,13,S20231,1,3,5,525.87,4,441.73,Reiss,Courier,Courier,,,FP,Mixed
2023,18,S20231,1,3,5,57.61,4,39.17,Next,Parcelshop,Courier,,Courier,MD,WWR
2023,15,S20231,2,3,5,135.88,4,70.66,Next,Courier,Courier,LauraAshley,Store,FP,Branded
2023,24,S20231,2,3,5,108.51,4,73.79,Next,Courier,Courier,Aubin,,MD,Branded
2023,8,S20231,2,3,5,254.87,4,214.09,Next,Courier,Courier,Aubin,Store,FP,Branded
2023,13,S20231,2,3,5,60.91,4,60.91,GAP,Parcelshop,Courier,,Store,FP,Branded
2023,3,S20231,2,3,5,267.7,4,310.53,Next,Store,UK_Reiss_Store,,Courier,MD,Branded
2023,9,S20231,2,3,5,145.99,4,145.99,Next,Courier,Courier,,Store,MD,CWR
2023,22,S20231,2,3,5,51.08,4,42.91,JOJO,Store,UK_Next_Store,,,FP,CWR
2023,25,S20231,2,3,5,679.42,5,577.51,Next,Store,International_Next_Store,,Store,FP,Home
2023,20,S20231,2,3,5,53.77,0,0,Next,Parcelshop,Courier,,,MD,Other
2023,23,S20231,2,3,5,70.98,0,0,Next,Courier,Courier,LauraAshley,Store,FP,WWR
2023,13,S20231,2,3,5,54.85,0,0,Next,Courier,Courier,LauraAshley,,MD,WWR
2023,23,S20231,3,3,5,29.47,0,0,Next,Courier,Courier,Bath and Body Works,Courier,FP,Branded
2023,4,S20231,3,3,5,104.47,0,0,Reiss,Store,UK_Next_Store,,,MD,Mixed
2023,25,S20231,3,3,5,46.78,0,0,Next,Parcelshop,Courier,,Courier,MD,MWR
2023,17,S20231,3,3,5,418.64,0,0,Next,Courier,Courier,Aubin,Store,FP,Branded
2023,17,S20231,3,3,5,80.19,0,0,Next,Store,UK_Next_Store,LauraAshley,Store,MD,Branded
2023,12,S20231,3,3,5,37.45,0,0,Next,Store,Lipsy Concession,,Courier,FP,Mixed
2023,23,S20231,17352,32130,44846,967239.63,4036,73991.27,Next,Courier,Courier,,,FP,MWR
2023,1,S20231,10183,18458,23381,444619.59,2338,46683.06,Next,Courier,Courier,,,FP,MWR
2023,22,S20231,4860,8902,11927,330388.27,1312,45429.43,Next,Courier,Courier,,Courier,FP,Branded
2023,11,S20231,1601,2770,3797,58011.21,456,10101.93,Next,Courier,Courier,,,FP,WWR
2023,5,S20231,1430,2452,3543,60677.35,461,9868.85,Next,Courier,Courier,,,MD,Home
2023,3,S20231,1254,2260,3171,163278.43,444,24005.17,Next,Courier,Courier,,Store,FP,Branded
2023,23,S20231,1132,1794,2583,290580.09,387,37005.93,Reiss,Store,UK_Next_Store,,Store,MD,Branded
2023,5,S20231,871,1516,2200,64236.19,352,6680.56,Next,Courier,Courier,,,FP,MWR
2023,8,S20231,980,1554,2138,202634.95,363,29243.69,Reiss,Store,UK_Next_Store,,Store,FP,Branded
2023,4,S20231,564,1002,1312,64864.02,236,12250.99,Next,Courier,Courier,LauraAshley,,FP,Home
2023,24,S20231,535,922,1290,8731.91,245,2072.98,JOJO,Store,UK_JOJO_Store,,,FP,Branded
2023,1,S20231,457,898,1281,9874.1,256,2861.25,Next,Parcelshop,Courier,,,MD,Mixed
2023,3,S20231,483,870,1149,26075.73,241,6836.65,Next,Courier,Courier,LauraAshley,,FP,Home
2023,9,S20231,475,830,1074,69100.34,236,15943.26,Next,Store,UK_Next_Store,LauraAshley,,FP,Home
2023,18,S20231,557,859,1067,63747.41,245,12441.8,Next,Store,UK_Next_Store,,Courier,FP,Branded
2023,25,S20231,250,454,639,26962.19,153,4196.23,Next,Courier,Courier,,Store,FP,Home
2023,15,S20231,334,494,634,46440.98,159,9899.84,Reiss,Courier,Courier,,Courier,MD,Branded
2023,8,S20231,244,366,531,10142.77,138,2767.77,Next,Parcelshop,Courier,,,FP,MWR
2023,5,S20231,183,364,519,7324.6,140,2469.76,Next,Courier,Courier,,Courier,MD,Home
2023,7,S20231,173,336,432,5113.02,121,2076.57,Next,Parcelshop,Courier,,,MD,Mixed
2023,25,S20231,167,245,350,4701.85,102,1712.82,JOJO,Courier,Courier,,,FP,Mixed
2023,11,S20231,1,5,10,82.58,3,26.01,Next,Store,International_Next_Store,,,MD,WWR
2023,19,S20231,1,4,7,356.42,2,86.56,Next,Courier,Courier,LauraAshley,Courier,FP,Branded
2023,16,S20231,1,4,7,10.75,2,2,JOJO,Parcelshop,Courier,,,FP,Branded
2023,8,S20231,1,4,5,12.11,2,4.12,Next,Courier,Courier,,Store,MD,CWR
2023,10,S20231,1,4,7,18.28,2,5.48,Next,Store,UK_VS_Store,,,FP,Mixed
2023,4,S20231,1,3,5,13.98,2,6.99,VS,Parcelshop,Courier,,Courier,MD,Branded
2023,22,S20231,1,3,5,60.07,2,34.84,GAP,Courier,Courier,,Store,MD,Branded
2023,14,S20231,1,3,5,93.56,2,46.78,Next,Store,UK_Next_Store,Aubin,,FP,Branded
2023,3,S20231,1,3,5,201.64,2,84.69,VS,Store,UK_VS_Store,,Courier,FP,Branded
2023,9,S20231,1,3,5,327.46,2,111.34,Next,Store,International_Next_Store,,Store,FP,Branded
2023,9,S20231,1,3,5,839.19,2,218.19,Next,Store,UK_Next_Store,Aubin,Store,FP,Branded
2023,22,S20231,1,3,5,37.92,2,12.89,Next,Store,UK_Next_Store,Bath and Body Works,,MD,Branded
2023,13,S20231,1,3,5,105.77,2,44.42,JOJO,Courier,Courier,,,FP,Branded
2023,26,S20231,1,3,5,104.85,2,52.43,Next,Store,UK_Next_Store,,Store,FP,Branded
2023,11,S20231,1,3,5,143.64,2,83.31,Next,Store,International_Next_Store,,,FP,Branded
2023,9,S20231,1,3,5,200.02,2,100.01,Next,Courier,Courier,Aubin,,FP,Branded
2023,5,S20231,1,3,5,61.45,2,25.81,Next,Store,UK_Next_Store,LauraAshley,,MD,Branded
2023,5,S20231,1,3,5,115.84,2,39.39,GAP,Parcelshop,Courier,,Courier,MD,Branded
2023,14,S20231,1,3,5,87.38,2,22.72,Next,Courier,Courier,Bath and Body Works,Store,FP,Branded
2023,25,S20231,1,3,5,84.7,2,28.8,Next,Courier,Courier,LauraAshley,,MD,Branded
2023,17,S20231,1,3,5,91.41,3,57.59,Next,Courier,Courier,LauraAshley,Store,FP,Branded
2023,22,S20231,1,3,5,118.83,3,89.12,Next,Store,UK_Next_Store,,,FP,Branded
2023,3,S20231,1,3,5,10.45,3,9.09,Next,Store,UK_Next_Store,,,MD,Branded
2023,11,S20231,1,3,5,43.55,3,32.66,Next,Store,International_Next_Store,,Store,MD,Branded
2023,1,S20231,1,3,5,73.94,3,46.58,Next,Parcelshop,Courier,,Courier,MD,Branded
2023,7,S20231,1,3,5,122.52,3,62.49,VS,Parcelshop,Courier,,Store,MD,Branded
2023,1,S20231,1,3,5,51.37,3,20.03,Next,Store,UK_Next_Store,,Store,FP,CWR
2023,26,S20231,1,3,5,132.27,3,67.46,Next,Parcelshop,Courier,,Courier,FP,Home
2023,22,S20231,1,3,5,94.02,3,59.23,Next,Store,Lipsy Concession,,Store,FP,Home
2023,24,S20231,1,3,5,27.96,3,20.97,Next,Store,UK_Next_Store,,,MD,Home
2023,25,S20231,3,9,20,122.75,12,106.79,Next,Courier,Courier,LauraAshley,Courier,MD,Home
2023,25,S20231,1,3,5,40.33,3,30.25,Next,Courier,Courier,LauraAshley,Courier,MD,Home
2023,7,S20231,1,3,5,153.63,3,96.79,Next,Parcelshop,Courier,LauraAshley,,MD,Home
2023,19,S20231,1,3,5,122.52,3,62.49,Next,Store,UK_Next_Store,,,MD,Home
2023,12,S20231,1,3,5,288.05,3,112.34,Next,Store,International_Next_Store,LauraAshley,Courier,FP,Home
2023,22,S20231,1,3,5,20.97,3,10.69,Next,Courier,Courier,LauraAshley,,MD,Home
2023,1,S20231,1,3,5,55.51,3,34.97,Next,Parcelshop,Courier,,Courier,MD,Mixed
2023,22,S20231,1,3,5,198.72,3,149.04,JOJO,Store,UK_JOJO_Store,,Courier,FP,Mixed
2023,19,S20231,1,3,5,35.26,3,30.68,Next,Parcelshop,Courier,,,FP,Mixed
2023,15,S20231,1,3,5,82.27,3,61.7,Next,Parcelshop,Courier,,Store,MD,Mixed
2023,20,S20231,1,3,5,42.25,4,35.49,JOJO,Courier,Courier,,,MD,Mixed
2023,7,S20231,1,3,5,57.92,4,39.39,Next,Courier,Courier,,Courier,MD,MWR
2023,9,S20231,1,3,5,119.06,4,61.91,Next,Parcelshop,Courier,,,MD,MWR
2023,23,S20231,1,3,5,48.39,4,32.91,Next,Parcelshop,Courier,,Courier,MD,Other
2023,24,S20231,1,3,5,346.31,4,290.9,Reiss,Courier,Courier,,Store,FP,Other
2023,1,S20231,1,3,5,13.98,4,13.98,Next,Store,International_Next_Store,,Store,MD,WWR
